# Descripiton: Distribuicao de Distancia de Luminosidade
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,4.2870321494
0.0020000000,8.5826297976
0.0030000000,12.8867929446
0.0040000000,17.1995215904
0.0050000000,21.5208157350
0.0060000000,25.8506753784
0.0070000000,30.1891005206
0.0080000000,34.5360911616
0.0090000000,38.8916473014
0.0100000000,43.2557689400
0.0110000000,47.6284560774
0.0120000000,52.0097087136
0.0130000000,56.3995268486
0.0140000000,60.7979104824
0.0150000000,65.2048596150
0.0160000000,69.6203742464
0.0170000000,74.0444543766
0.0180000000,78.4771000056
0.0190000000,82.9183111334
0.0200000000,87.3680877600
0.0210000000,91.8264298854
0.0220000000,96.2933375096
0.0230000000,100.7688106326
0.0240000000,105.2528492544
0.0250000000,109.7454533750
0.0260000000,114.2466229944
0.0270000000,118.7563581126
0.0280000000,123.2746587296
0.0290000000,127.8015248454
0.0300000000,132.3369564600
0.0310000000,136.8809535734
0.0320000000,141.4335161856
0.0330000000,145.9946442966
0.0340000000,150.5643379064
0.0350000000,155.1425970150
0.0360000000,159.7294216224
0.0370000000,164.3248117286
0.0380000000,168.9287673336
0.0390000000,173.5412884374
0.0400000000,178.1623750400
0.0410000000,182.7920271414
0.0420000000,187.4302447416
0.0430000000,192.0770278406
0.0440000000,196.7323764384
0.0450000000,201.3962905350
0.0460000000,206.0687701304
0.0470000000,210.7498152246
0.0480000000,215.4394258176
0.0490000000,220.1376019094
0.0500000000,224.8443435000
0.0510000000,229.5596505894
0.0520000000,234.2835231776
0.0530000000,239.0159612646
0.0540000000,243.7569648504
0.0550000000,248.5065339350
0.0560000000,253.2646685184
0.0570000000,258.0313686006
0.0580000000,262.8066341816
0.0590000000,267.5904652614
0.0600000000,272.3828618400
0.0610000000,277.1838239174
0.0620000000,281.9933514936
0.0630000000,286.8114445686
0.0640000000,291.6381031424
0.0650000000,296.4733272150
0.0660000000,301.3171167864
0.0670000000,306.1694718566
0.0680000000,311.0303924256
0.0690000000,315.8998784934
0.0700000000,320.7779300600
0.0710000000,325.6645471254
0.0720000000,330.5597296896
0.0730000000,335.4634777526
0.0740000000,340.3757913144
0.0750000000,345.2966703750
0.0760000000,350.2261149344
0.0770000000,355.1641249926
0.0780000000,360.1107005496
0.0790000000,365.0658416054
0.0800000000,370.0295481600
0.0810000000,375.0018202134
0.0820000000,379.9826577656
0.0830000000,384.9720608166
0.0840000000,389.9700293664
0.0850000000,394.9765634150
0.0860000000,399.9916629624
0.0870000000,405.0153280086
0.0880000000,410.0475585536
0.0890000000,415.0883545974
0.0900000000,420.1377161400
0.0910000000,425.1956431814
0.0920000000,430.2621357216
0.0930000000,435.3371937606
0.0940000000,440.4208172984
0.0950000000,445.5130063350
0.0960000000,450.6137608704
0.0970000000,455.7230809046
0.0980000000,460.8409664376
0.0990000000,465.9674174694
0.1000000000,471.1024340000
0.1010000000,476.2460160294
0.1020000000,481.3981635576
0.1030000000,486.5588765846
0.1040000000,491.7281551104
0.1050000000,496.9059991350
0.1060000000,502.0924086584
0.1070000000,507.2873836806
0.1080000000,512.4909242016
0.1090000000,517.7030302214
0.1100000000,522.9237017400
0.1110000000,528.1529387574
0.1120000000,533.3907412736
0.1130000000,538.6371092886
0.1140000000,543.8920428024
0.1150000000,549.1555418150
0.1160000000,554.4276063264
0.1170000000,559.7082363366
0.1180000000,564.9974318456
0.1190000000,570.2951928534
0.1200000000,575.6015193600
0.1210000000,580.9164113654
0.1220000000,586.2398688696
0.1230000000,591.5718918726
0.1240000000,596.9124803744
0.1250000000,602.2616343750
0.1260000000,607.6193538744
0.1270000000,612.9856388726
0.1280000000,618.3604893696
0.1290000000,623.7439053654
0.1300000000,629.1358868600
0.1310000000,634.5364338534
0.1320000000,639.9455463456
0.1330000000,645.3632243366
0.1340000000,650.7894678264
0.1350000000,656.2242768150
0.1360000000,661.6676513024
0.1370000000,667.1195912886
0.1380000000,672.5800967736
0.1390000000,678.0491677574
0.1400000000,683.5268042400
0.1410000000,689.0130062214
0.1420000000,694.5077737016
0.1430000000,700.0111066806
0.1440000000,705.5230051584
0.1450000000,711.0434691350
0.1460000000,716.5724986104
0.1470000000,722.1100935846
0.1480000000,727.6562540576
0.1490000000,733.2109800294
0.1500000000,738.7742715000
0.1510000000,744.3461284694
0.1520000000,749.9265509376
0.1530000000,755.5155389046
0.1540000000,761.1130923704
0.1550000000,766.7192113350
0.1560000000,772.3338957984
0.1570000000,777.9571457606
0.1580000000,783.5889612216
0.1590000000,789.2293421814
0.1600000000,794.8782886400
0.1610000000,800.5358005974
0.1620000000,806.2018780536
0.1630000000,811.8765210086
0.1640000000,817.5597294624
0.1650000000,823.2515034150
0.1660000000,828.9518428664
0.1670000000,834.6607478166
0.1680000000,840.3782182656
0.1690000000,846.1042542134
0.1700000000,851.8388556600
0.1710000000,857.5820226054
0.1720000000,863.3337550496
0.1730000000,869.0940529926
0.1740000000,874.8629164344
0.1750000000,880.6403453750
0.1760000000,886.4263398144
0.1770000000,892.2208997526
0.1780000000,898.0240251896
0.1790000000,903.8357161254
0.1800000000,909.6559725600
0.1810000000,915.4847944934
0.1820000000,921.3221819256
0.1830000000,927.1681348566
0.1840000000,933.0226532864
0.1850000000,938.8857372150
0.1860000000,944.7573866424
0.1870000000,950.6376015686
0.1880000000,956.5263819936
0.1890000000,962.4237279174
0.1900000000,968.3296393400
0.1910000000,974.2441162614
0.1920000000,980.1671586816
0.1930000000,986.0987666006
0.1940000000,992.0389400184
0.1950000000,997.9876789350
0.1960000000,1003.9449833504
0.1970000000,1009.9108532646
0.1980000000,1015.8852886776
0.1990000000,1021.8682895894
0.2000000000,1027.8598560000
0.2010000000,1033.8599879094
0.2020000000,1039.8686853176
0.2030000000,1045.8859482246
0.2040000000,1051.9117766304
0.2050000000,1057.9461705350
0.2060000000,1063.9891299384
0.2070000000,1070.0406548406
0.2080000000,1076.1007452416
0.2090000000,1082.1694011414
0.2100000000,1088.2466225400
0.2110000000,1094.3324094374
0.2120000000,1100.4267618336
0.2130000000,1106.5296797286
0.2140000000,1112.6411631224
0.2150000000,1118.7612120150
0.2160000000,1124.8898264064
0.2170000000,1131.0270062966
0.2180000000,1137.1727516856
0.2190000000,1143.3270625734
0.2200000000,1149.4899389600
0.2210000000,1155.6613808454
0.2220000000,1161.8413882296
0.2230000000,1168.0299611126
0.2240000000,1174.2270994944
0.2250000000,1180.4328033750
0.2260000000,1186.6470727544
0.2270000000,1192.8699076326
0.2280000000,1199.1013080096
0.2290000000,1205.3412738854
0.2300000000,1211.5898052600
0.2310000000,1217.8469021334
0.2320000000,1224.1125645056
0.2330000000,1230.3867923766
0.2340000000,1236.6695857464
0.2350000000,1242.9609446150
0.2360000000,1249.2608689824
0.2370000000,1255.5693588486
0.2380000000,1261.8864142136
0.2390000000,1268.2120350774
0.2400000000,1274.5462214400
0.2410000000,1280.8889733014
0.2420000000,1287.2402906616
0.2430000000,1293.6001735206
0.2440000000,1299.9686218784
0.2450000000,1306.3456357350
0.2460000000,1312.7312150904
0.2470000000,1319.1253599446
0.2480000000,1325.5280702976
0.2490000000,1331.9393461494
0.2500000000,1338.3591875000
0.2510000000,1344.7875943494
0.2520000000,1351.2245666976
0.2530000000,1357.6701045446
0.2540000000,1364.1242078904
0.2550000000,1370.5868767350
0.2560000000,1377.0581110784
0.2570000000,1383.5379109206
0.2580000000,1390.0262762616
0.2590000000,1396.5232071014
0.2600000000,1403.0287034400
0.2610000000,1409.5427652774
0.2620000000,1416.0653926136
0.2630000000,1422.5965854486
0.2640000000,1429.1363437824
0.2650000000,1435.6846676150
0.2660000000,1442.2415569464
0.2670000000,1448.8070117766
0.2680000000,1455.3810321056
0.2690000000,1461.9636179334
0.2700000000,1468.5547692600
0.2710000000,1475.1544860854
0.2720000000,1481.7627684096
0.2730000000,1488.3796162326
0.2740000000,1495.0050295544
0.2750000000,1501.6390083750
0.2760000000,1508.2815526944
0.2770000000,1514.9326625126
0.2780000000,1521.5923378296
0.2790000000,1528.2605786454
0.2800000000,1534.9373849600
0.2810000000,1541.6227567734
0.2820000000,1548.3166940856
0.2830000000,1555.0191968966
0.2840000000,1561.7302652064
0.2850000000,1568.4498990150
0.2860000000,1575.1780983224
0.2870000000,1581.9148631286
0.2880000000,1588.6601934336
0.2890000000,1595.4140892374
0.2900000000,1602.1765505400
0.2910000000,1608.9475773414
0.2920000000,1615.7271696416
0.2930000000,1622.5153274406
0.2940000000,1629.3120507384
0.2950000000,1636.1173395350
0.2960000000,1642.9311938304
0.2970000000,1649.7536136246
0.2980000000,1656.5845989176
0.2990000000,1663.4241497094
0.3000000000,1670.2722660000
0.3010000000,1677.1289477894
0.3020000000,1683.9941950776
0.3030000000,1690.8680078646
0.3040000000,1697.7503861504
0.3050000000,1704.6413299350
0.3060000000,1711.5408392184
0.3070000000,1718.4489140006
0.3080000000,1725.3655542816
0.3090000000,1732.2907600614
0.3100000000,1739.2245313400
0.3110000000,1746.1668681174
0.3120000000,1753.1177703936
0.3130000000,1760.0772381686
